cell_index,n,k,mu2,rho,controls,hetero,expected_first_stage_f,estimator,n_reps,n_failed,median_bias,mean_bias,mad,rmse,iqr_sd,coverage,median_ci_width,se_ratio,median_first_stage_f
14,500,50,100.0,0.5,0,True,3.0,UJIVE2,2000,0,-0.0102970482804601,-0.0244718467295559,0.0899378322161692,0.1481048904858561,0.1349652607459846,0.954,0.5024133379288985,0.9473365739210104,2.9801628029565492
15,500,50,100.0,0.5,2,True,3.0,OLS,2000,0,0.3724910545384283,0.373137776659785,0.3724910545384283,0.3752207157542742,0.0389570469644928,0.0,0.1511424252152962,0.987327500082366,2.978479084543931
15,500,50,100.0,0.5,2,True,3.0,2SLS,2000,0,0.1494766837013253,0.1500693788069506,0.1495915051669942,0.1697522158730116,0.0801997327713237,0.5175,0.3058501797400122,0.9705025812008362,2.978479084543931
15,500,50,100.0,0.5,2,True,3.0,JIVE1,2000,0,-0.39501328302879,-0.4035608081495506,0.39501328302879,0.4232640627368692,0.1253302762565523,0.019,0.3955328088624148,0.8031328545819246,2.978479084543931
15,500,50,100.0,0.5,2,True,3.0,JIVE2,2000,0,-0.3229523799369505,-0.332544381975631,0.3229523799369505,0.361871152578619,0.1381476238372239,0.1525,0.4237122780194294,0.7805280327463651,2.978479084543931
15,500,50,100.0,0.5,2,True,3.0,UJIVE1,2000,0,-0.0187966779903296,-0.0299025792136615,0.0933222772842692,0.1525051430875541,0.1393492236981788,0.956,0.5201709733426281,0.949953694839148,2.978479084543931
15,500,50,100.0,0.5,2,True,3.0,UJIVE2,2000,0,-0.0184330580207521,-0.0300714604019375,0.0926500437967464,0.152059637945375,0.1375037192187257,0.955,0.5195547861458039,0.961563081723278,2.978479084543931
16,500,50,300.0,0.5,0,True,7.0,OLS,2000,0,0.2789088198863785,0.2791839558781067,0.2789088198863785,0.2812986123184363,0.0342692710974161,0.0,0.133696733498811,0.992844128074856,6.919068245221833
16,500,50,300.0,0.5,0,True,7.0,2SLS,2000,0,0.0614557949980884,0.0620819932444981,0.0626439912237183,0.0817926391724453,0.0538527034192397,0.7595,0.2057943579361905,0.9725033280576688,6.919068245221833
16,500,50,300.0,0.5,0,True,7.0,JIVE1,2000,0,-0.1675119797734549,-0.1678749317806784,0.1675119797734549,0.1811329442237018,0.0660675318963305,0.198,0.2310826114843822,0.8901113236246926,6.919068245221833
