cell_index,n,k,mu2,rho,controls,hetero,expected_first_stage_f,estimator,n_reps,n_failed,median_bias,mean_bias,mad,rmse,iqr_sd,coverage,median_ci_width,se_ratio,median_first_stage_f
4,500,5,300.0,0.5,0,False,61.0,JIVE1,2000,0,-0.0213800932223427,-0.0226057118280028,0.0439671769030872,0.0642457003264485,0.0580723275274091,0.936,0.2267255636408918,0.993565263548986,60.67153784795619
4,500,5,300.0,0.5,0,False,61.0,JIVE2,2000,0,-0.0074510998415595,-0.0088325774960901,0.0416240596111578,0.0616266780914248,0.0588550450952508,0.9405,0.2282413805085388,0.9869060942746134,60.67153784795619
4,500,5,300.0,0.5,0,False,61.0,UJIVE1,2000,0,-0.0016199809035533,-0.0023871693025847,0.0391549761450463,0.060194903106787,0.0581970993155697,0.9425,0.2288122545448589,1.0005598772986353,60.67153784795619
4,500,5,300.0,0.5,0,False,61.0,UJIVE2,2000,0,-0.0018322980744559,-0.0023895795262374,0.0391061152093971,0.0601880495580544,0.0582669932363439,0.9425,0.2288097459955783,0.9993487036756508,60.67153784795619
5,500,5,300.0,0.5,2,False,61.0,OLS,2000,0,0.3127502086395461,0.311910606824934,0.3127502086395461,0.3136312845958696,0.0337261002590152,0.0,0.1268241663334894,0.9569665671812284,60.42298624360869
5,500,5,300.0,0.5,2,False,61.0,2SLS,2000,0,0.009076899362714,0.0055944095109657,0.0407154240644758,0.0590574013028761,0.0584436999937994,0.9345,0.2236891568935804,0.9740205187020984,60.42298624360869
5,500,5,300.0,0.5,2,False,61.0,JIVE1,2000,0,-0.0311244882329213,-0.0352348875467344,0.0458994565224115,0.0709676776598167,0.0615954874510598,0.9175,0.2284305395707214,0.9437699498933544,60.42298624360869
5,500,5,300.0,0.5,2,False,61.0,JIVE2,2000,0,-0.0133180108061356,-0.0177550169750047,0.0425612596838559,0.0652311217658339,0.0626669892190002,0.9355,0.2303483444542338,0.9354210555845228,60.42298624360869
5,500,5,300.0,0.5,2,False,61.0,UJIVE1,2000,0,-0.0042501350831621,-0.0081488328400065,0.0402641268436703,0.0619194898404679,0.0606018567056603,0.9425,0.2313857171920201,0.9716536655724152,60.42298624360869
5,500,5,300.0,0.5,2,False,61.0,UJIVE2,2000,0,-0.0044123009323937,-0.008152261052488,0.0401632653872904,0.061939282327298,0.0608130755760847,0.9415,0.2313754319540146,0.9682358311906276,60.42298624360869
6,500,20,25.0,0.5,0,False,2.25,OLS,2000,0,0.4752528371884341,0.4763435396329524,0.4752528371884341,0.4778982270108721,0.0392976761780253,0.0,0.1489793312727698,0.9647711165231804,2.215121611935901
6,500,20,25.0,0.5,0,False,2.25,2SLS,2000,0,0.2193335394553623,0.2193863238738494,0.2197544511564721,0.2616330451381184,0.1401730021681749,0.6215,0.5407105507841938,0.9816702080331956,2.215121611935901
6,500,20,25.0,0.5,0,False,2.25,JIVE1,2000,0,-0.5066428033408842,-0.5358009471794876,0.5066428033408842,0.5999945100423709,0.2554376816340414,0.216,0.7779617355823252,0.7750655159869655,2.215121611935901
